SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
20MICRONS, EQ, 01-Oct-2018, 42.45, 43.20, 43.60, 40.05, 42.00, 41.85, 41.77, 60938, 25.45, 719, 38972, 63.95
21STCENMGM, EQ, 01-Oct-2018, 28.85, 28.85, 28.85, 28.30, 28.30, 28.30, 28.34, 1393, 0.39, 13, 1393, 100.00
3IINFOTECH, EQ, 01-Oct-2018, 3.40, 3.40, 3.40, 3.25, 3.40, 3.35, 3.34, 2969010, 99.28, 913, 1059680, 35.69
3MINDIA, EQ, 01-Oct-2018, 22568.05, 22500.00, 23300.00, 21555.60, 23200.00, 23088.15, 22748.96, 3079, 700.44, 1690, 1612, 52.35
5PAISA, EQ, 01-Oct-2018, 226.20, 239.50, 239.50, 203.60, 211.50, 210.80, 217.54, 28915, 62.90, 520, 15739, 54.43
63MOONS, EQ, 01-Oct-2018, 69.55, 72.50, 72.50, 66.15, 66.55, 66.75, 67.41, 119702, 80.69, 1966, 61635, 51.49
8KMILES, BE, 01-Oct-2018, 191.35, 181.80, 181.80, 181.80, 181.80, 181.80, 181.80, 33779, 61.41, 339, -, -
A2ZINFRA, EQ, 01-Oct-2018, 12.55, 12.05, 12.30, 10.05, 10.05, 10.05, 10.19, 2514457, 256.14, 2670, 1503687, 59.80
AARTIDRUGS, EQ, 01-Oct-2018, 549.25, 560.00, 578.00, 549.70, 550.25, 554.60, 560.89, 36460, 204.50, 2509, 22091, 60.59
AARTIIND, EQ, 01-Oct-2018, 1162.20, 1155.20, 1161.00, 1104.85, 1160.00, 1138.85, 1133.57, 31467, 356.70, 2928, 21281, 67.63
AARVEEDEN, EQ, 01-Oct-2018, 24.95, 24.50, 24.60, 22.85, 24.25, 23.60, 23.35, 50409, 11.77, 220, 35776, 70.97
AARVI, SM, 01-Oct-2018, 54.00, 53.00, 53.00, 53.00, 53.00, 53.00, 53.00, 2000, 1.06, 1, 2000, 100.00
ABAN, EQ, 01-Oct-2018, 82.30, 82.70, 82.85, 78.40, 79.80, 80.15, 80.21, 526487, 422.31, 5444, 140992, 26.78
ABB, EQ, 01-Oct-2018, 1409.80, 1393.50, 1449.95, 1370.30, 1439.00, 1422.90, 1401.23, 59120, 828.41, 6350, 23763, 40.19
ABBOTINDIA, EQ, 01-Oct-2018, 7773.55, 7780.10, 7879.90, 7600.05, 7630.00, 7640.85, 7673.24, 9645, 740.08, 1953, 6892, 71.46
ABCAPITAL, EQ, 01-Oct-2018, 114.65, 114.95, 115.00, 106.00, 110.20, 110.75, 109.48, 3190536, 3492.93, 28800, 1489103, 46.67
